no,type,Word,Sub_Type,Type2,Type3,wildcard,Comment,sort,multiword,duplicate,regex_matches,word_copy,word_en
1,,(a|Ã¤)ngst(e)? (de(s|r)|eine(s|r)|unsere(s|r)) bÃ¼rger(s|innen|in)?,sorgen der menschen,advocative,people-centrism,regex,,aÃ¤ngstedesreinesrunseresrbÃ¼rgersinnenin,TRUE,FALSE,15,(a|Ã¤)ngst(e)? (de(s|r)|eine(s|r)|unsere(s|r)) bÃ¼rger(s|innen|in)?,(fear(s)? (of our citizens)?
2,,(a|Ã¤)ngst(e)? (de(s|r)|eine(s|r)|unsere(s|r)) deutsche(n|r),sorgen der menschen,advocative,people-centrism,regex,,aÃ¤ngstedesreinesrunseresrdeutschenr,TRUE,FALSE,6,(a|Ã¤)ngst(e)? (de(s|r)|eine(s|r)|unsere(s|r)) deutsche(n|r),(fear(s)? (our)
3,adjective,aberwitzig(e|er|es|en|em)?,zzz_none,conflictive,anti-elitism,regex,,aberwitzigeeresenem,FALSE,FALSE,69,aberwitzig(e|er|es|en|em)?,absurd?
4,,abgehoben(e|er|es|en|em)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,regex,,abgehobeneeresenem,FALSE,FALSE,149,abgehoben(e|er|es|en|em)?,aloof?
5,,alt(-)?partei(en)?,zzz_none,conflictive,anti-elitism,regex,,altparteien,FALSE,FALSE,680,alt(-)?partei(en)?,old(-)?party(s)?
6,phrase,an der nase herumfÃ¼hr(t|en),zzz_none,conflictive,anti-elitism,regex,,andernaseherumfÃ¼hrten,TRUE,FALSE,25,an der nase herumfÃ¼hr(t|en),to lead by the nose
7,,angeblich(e|er|en)? ([^[:space:]]*)partei(en)?,pseudo-eliten,conflictive,anti-elitism,regex,,angeblicheeren[^[:space:]]parteien,TRUE,FALSE,14,angeblich(e|er|en)? ([^[:space:]]*)partei(en)?,alleged(s)? ([^[:space:]]*)party(s)?
8,,anma(ÃŸ|ss)end(e|er|es|en|em)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,regex,,anmaÃŸssendeeresenem,FALSE,FALSE,39,anma(ÃŸ|ss)end(e|er|es|en|em)?,presum(ÃŸ|ss)end(e|er|es|en|em)?
9,,anstÃ¤ndig(e|er|es|en|em) bÃ¼rger(s|n|innen|in)?,zzz_none,advocative,people-centrism,regex,,anstÃ¤ndigeeresenembÃ¼rgersninnenin,TRUE,FALSE,7,anstÃ¤ndig(e|er|es|en|em) bÃ¼rger(s|n|innen|in)?,decent citizen(s)?
10,,anti(-)?demokratisch(e|er|es|en|em)?,diktatorische eliten,conflictive,sovereignty,regex,,antidemokratischeeresenem,TRUE,FALSE,134,anti(-)?demokratisch(e|er|es|en|em)?,anti(-)?democratic(e|er|es|en|em)?
11,,apparatschik(s)?,zzz_none,conflictive,anti-elitism,regex,,apparatschiks,FALSE,FALSE,21,apparatschik(s)?,apparatchik(s)?
12,,(.*)arbeitend(e|er|en) bevÃ¶lkerung,arbeitende menschen,advocative,people-centrism,regex,,arbeitendeerenbevÃ¶lkerung,TRUE,FALSE,40,(.*)arbeitend(e|er|en) bevÃ¶lkerung,(.*)working population
